asset_id,asset,asset_kind,explicit_indoor,area,nearest_option,nearest_option_distance_m,reason_bucket,same_number_pole_exists,same_number_pole,same_number_option_distance_m
AUTO-921F31E3AAA6EFEEA9D766F7,JB.16.1,Junction box,False,FT LOMANIS,T-020,14.515,Opsi >10–25 m,True,T-016,
AUTO-9226318178EE2D60723DA22B,C-015-exp,Kamera CCTV,False,FT LOMANIS,T-010,5.925,Opsi >5–10 m,True,T-015,
AUTO-92D8D8E70D5EB00BD4A6E9A0,JB-02,Junction box,False,FT Tegal Baru,,,Tidak ada opsi ≤25 m,True,T-02,
AUTO-932B7F257411FA0E90F1F188,C-047,Kamera CCTV,False,FT REWULU,,,Tidak ada opsi ≤25 m,False,,
AUTO-943B1AECA81E8026F2EEC4E5,C-041,Kamera CCTV,False,FT PENGAPON - SEMARANG,,,Tidak ada opsi ≤25 m,False,,
AUTO-96F9261689F22AE97C4BEF49,C-038,Kamera CCTV,False,FT REWULU,T-006,6.461,Opsi >5–10 m,False,,
AUTO-97BC3AD9CA7DA7625F872F55,C-054,Kamera CCTV,True,FT LOMANIS,T-022,10.31,Opsi >10–25 m,False,,
AUTO-97F99B6DEFCC9C9038729055,C-072,Kamera CCTV,True,FT LOMANIS,T-003,21.378,Opsi >10–25 m,False,,
AUTO-9926870B36479B186223447A,C.010,Kamera CCTV,False,FT CILACAP,T-013,6.39,Opsi >5–10 m,True,T-010,
AUTO-9952A835314D7748C237429E,C-019,Kamera CCTV,True,FT CILACAP,T-002,24.874,Opsi >10–25 m,False,,
AUTO-99534EF3502653926425735B,JB08.1,Junction box,False,FT REWULU,T-008,19.84,Opsi >10–25 m,True,T-008,19.84
AUTO-9A07957593BD668822FD7DCF,C-073,Kamera CCTV,True,FT LOMANIS,T-025,23.729,Opsi >10–25 m,False,,
AUTO-9C130FC8B91419A7EC2E911F,PC-026,Kamera CCTV,False,DPPU YIA,T-013,6.55,Opsi >5–10 m,False,,
AUTO-9D5361802948DE18C1F4513A,DC-047,Kamera CCTV,True,DPPU YIA,T-016,14.956,Opsi >10–25 m,False,,
AUTO-9DBFC8EC53D1704E53FF30A8,C-049-Dome,Kamera CCTV,True,FT MAOS,,,Tidak ada opsi ≤25 m,False,,
AUTO-9E1CA169DBE4284E94F3F8FF,C-020-Fix,Kamera CCTV,False,FT MAOS,T-001,21.861,Opsi >10–25 m,False,,
AUTO-9E490E1DB865730FE29BE937,JB-02.4,Junction box,False,FT Tegal Baru,,,Tidak ada opsi ≤25 m,True,T-02,
AUTO-9E5C6CB46722D2159F6EB8AE,C-042,Kamera CCTV,False,FT REWULU,,,Tidak ada opsi ≤25 m,False,,
AUTO-A1F74D527135F11E071589B4,JB-19.2-WP,Junction box,False,FT PENGAPON - SEMARANG,,,Tidak ada opsi ≤25 m,True,T-019,
AUTO-A2FC36BB4C3C6FA479D80329,C-027- Dome,Kamera CCTV,True,FT REWULU,T-014,22.122,Opsi >10–25 m,False,,
AUTO-A35206E985CB453C79183539,DC-046,Kamera CCTV,True,DPPU YIA,T-016,24.155,Opsi >10–25 m,False,,
AUTO-A4ECBC8A01CECBA4F8FDCF0C,C-048-Dome,Kamera CCTV,True,FT MAOS,,,Tidak ada opsi ≤25 m,False,,
AUTO-A56ED8B45B0C1D2AEDD5EC41,JB.CR.1-exp,Junction box,False,FT LOMANIS,,,Tidak ada opsi ≤25 m,False,,
AUTO-A72D43A855EA88647C10291F,C-017,Kamera CCTV,True,FT CILACAP,,,Tidak ada opsi ≤25 m,False,,
AUTO-A73070085712C695E4BF42D9,BC-001,Kamera CCTV,False,DPPU YIA,T-017,6.261,Opsi >5–10 m,False,,
AUTO-A7AB1822EB9BF9AA0DA0F7EE,JB-014,Junction box,False,FT REWULU,,,Tidak ada opsi ≤25 m,True,T-014,
AUTO-AA5722F093F52A57632B38B9,JB-3.2,Junction box,False,FT CILACAP,,,Tidak ada opsi ≤25 m,True,T-003,
AUTO-AAC9F353026BD2E3CD22E0A4,BC-010,Kamera CCTV,False,DPPU YIA,,,Tidak ada opsi ≤25 m,False,,
AUTO-AAFDE519C116813260F21B48,C-066,Kamera CCTV,False,FT LOMANIS,T-016,14.682,Opsi >10–25 m,False,,
AUTO-AB15BE69AFC8CF6CF14473CE,JB_001,Junction box,False,FT CILACAP,,,Tidak ada opsi ≤25 m,True,T-001,
AUTO-AB22642EF4501C4F1EE878EE,C-021- Dome,Kamera CCTV,True,FT REWULU,,,Tidak ada opsi ≤25 m,False,,
AUTO-AD62F06B20F19261B4505F3A,JB-008-exp,Junction box,False,FT MAOS,T-009,15.367,Opsi >10–25 m,True,T-008,
AUTO-ADED6A335B55D7EE46EBE6F3,C-015-Fix,Kamera CCTV,False,FT REWULU,T-004,9.899,Opsi >5–10 m,True,T-015,
AUTO-AF04FF9CB64D5D1C49C338B0,C-018-Fix,Kamera CCTV,False,FT REWULU,T-007,7.994,Opsi >5–10 m,True,T-018,
AUTO-B02E8DBCD05E07523E825B2D,C-058,Kamera CCTV,True,FT LOMANIS,,,Tidak ada opsi ≤25 m,False,,
AUTO-B047BAEFAB0025D25572E683,C-043,Kamera CCTV,False,FT REWULU,T-008,18.948,Opsi >10–25 m,False,,
AUTO-B1524FD9C5A731302A23A615,C-050,Kamera CCTV,True,FT LOMANIS,T-022,12.044,Opsi >10–25 m,False,,
AUTO-B1A7A2787704731FCBA7C2A6,C-15,Kamera CCTV,True,FT Tegal Baru,T-05,21.275,Opsi >10–25 m,True,T-15,
AUTO-B3C527C07C95702C5D739EDE,C-023,Kamera CCTV,False,ITC LPG CILACAP,T-002,24.124,Opsi >10–25 m,False,,
AUTO-B4B0A0F4AB75850826ABB82C,C-056,Kamera CCTV,False,FT LOMANIS,,,Tidak ada opsi ≤25 m,False,,
AUTO-B5082EBC56AB55CD03818C30,JB-3.1,Junction box,False,FT CILACAP,T-003,13.068,Opsi >10–25 m,True,T-003,13.068
AUTO-B55D2342BA7F04DE3D509B88,BC-030,Kamera CCTV,False,DPPU YIA,T-012,6.186,Opsi >5–10 m,False,,
AUTO-B6730649B74EA70901D6F298,DC-043,Kamera CCTV,True,DPPU YIA,T-016,20.595,Opsi >10–25 m,False,,
AUTO-B698D938670537AE56D77EF5,C-029,Kamera CCTV,False,FT CILACAP,,,Tidak ada opsi ≤25 m,False,,
AUTO-B723985D47C6363EFAD804DD,C-38-EXP,Kamera CCTV,False,FT Tegal Baru,,,Tidak ada opsi ≤25 m,False,,
AUTO-B74BA675C58EC0ABC18B2D1D,C-003-Fix Relokasi,Kamera CCTV,False,FT MAOS,,,Tidak ada opsi ≤25 m,True,T-003,
AUTO-B85D76FA8E6EB64759E8BC21,C-055,Kamera CCTV,True,FT LOMANIS,T-022,22.802,Opsi >10–25 m,False,,
AUTO-B8A8165D07077306F86438FD,C-040,Kamera CCTV,False,FT LOMANIS,T-001,13.578,Opsi >10–25 m,False,,
AUTO-B8D7C7FFC016846804E5135C,BC-019,Kamera CCTV,False,DPPU YIA,T-006,5.859,Opsi >5–10 m,False,,
AUTO-B935385F118601655AB1D4F7,BC-042,Kamera CCTV,False,DPPU YIA,T-016,6.273,Opsi >5–10 m,False,,
AUTO-B95753307B60091CEB8BC141,BC-017,Kamera CCTV,False,DPPU YIA,T-004,7.442,Opsi >5–10 m,False,,
AUTO-BA0DA2F688BCA04BED4EC94A,JB-2.1,Junction box,False,FT CILACAP,T-002,13.403,Opsi >10–25 m,True,T-002,13.403
AUTO-BA4E2DB27D92C65B23072A09,C-023-Fix Dome,Kamera CCTV,True,FT PENGAPON - SEMARANG,T-TOWER,10.165,Opsi >10–25 m,False,,
AUTO-BCE89A3A1CEC4A21CCA8CF5D,DC-039,Kamera CCTV,True,DPPU YIA,T-007,7.279,Opsi >5–10 m,False,,
AUTO-BD09F8286A3B0191E0CCC08A,C-026- Dome,Kamera CCTV,True,FT REWULU,T-014,11.95,Opsi >10–25 m,False,,
AUTO-BDD2A8BDC32AB335BB38A1C9,C-027,Kamera CCTV,False,ITC LPG CILACAP,T-006,6.512,Opsi >5–10 m,False,,
AUTO-BE5F1871C2C8C2488A428F9E,C-032,Kamera CCTV,False,FT CILACAP,,,Tidak ada opsi ≤25 m,False,,
AUTO-BF6C483936A2359A82398E90,C-029,Kamera CCTV,True,FT LOMANIS,,,Tidak ada opsi ≤25 m,False,,
AUTO-C11EAE5C859C51E3B30EB146,Cam-08,Kamera CCTV,True,Booster Kutawinangun,T-04,13.367,Opsi >10–25 m,True,T-08,
AUTO-C1301539B164ED8DAF39E2B1,C-045,Kamera CCTV,True,FT PENGAPON - SEMARANG,,,Tidak ada opsi ≤25 m,False,,
AUTO-C16A4C8666FEB9559E87C6BA,JB-01.3,Junction box,False,ITC LPG CILACAP,T-014,7.73,Opsi >5–10 m,True,T-001,24.398
AUTO-C1989CF8C39347152C1EF224,JB-12.2,Junction box,False,ITC LPG CILACAP,,,Tidak ada opsi ≤25 m,True,T-012,
AUTO-C23F217B6A6AA2E31950A399,JB00.3,Junction box,False,FT LOMANIS,,,Tidak ada opsi ≤25 m,False,,
AUTO-C39BD826B25B75A5F03099D5,JB-CCTV-02-CR-WP,Junction box,False,FT LOMANIS,T-022,24.428,Opsi >10–25 m,False,,
AUTO-C4E44BC22E1AF53DE110338E,C-13,Kamera CCTV,True,FT Tegal Baru,T-04,24.5,Opsi >10–25 m,True,T-13,
AUTO-C50D8F54EEB98775EDB96D95,C-009,Kamera CCTV,False,FT LOMANIS,T-004,6.116,Opsi >5–10 m,True,T-009,
AUTO-C5785F45B55652A70FA9B7A4,C-02,Kamera CCTV,True,FT Tegal Baru,T-01,15.483,Opsi >10–25 m,True,T-02,19.648
AUTO-C64D16B6BA076138143501D8,C-046,Kamera CCTV,True,ITC LPG CILACAP,,,Tidak ada opsi ≤25 m,False,,
AUTO-C7A4F5FAA4595A82468CD865,JB08.3-WP,Junction box,False,FT MAOS,T-009,21.632,Opsi >10–25 m,True,T-008,
AUTO-C7EE3EC078C6A55F46FA0703,C-038-Fix Genset,Kamera CCTV,False,FT MAOS,T-009,22.313,Opsi >10–25 m,False,,
AUTO-C839A16D566557DC854A1140,JB00.1 ( JB DIBAWAH TOWER),Junction box,False,FT MAOS,,,Tidak ada opsi ≤25 m,False,,
AUTO-C9E2AEFB69F790DD5A6A100E,C-040,Kamera CCTV,False,ITC LPG CILACAP,T-004,8.002,Opsi >5–10 m,False,,
AUTO-CA6F5306832A458DBF9313D9,DC-040,Kamera CCTV,True,DPPU YIA,T-008,16.603,Opsi >10–25 m,False,,
AUTO-CC5FC7C2CB70C74A2D5DEABD,C-030,Kamera CCTV,True,FT LOMANIS,,,Tidak ada opsi ≤25 m,False,,
AUTO-CCAD11CBB662F43A723111A1,C-040,Kamera CCTV,False,FT CILACAP,T-011,6.378,Opsi >5–10 m,False,,
AUTO-CD0A553C86CDE5B46B74CBC4,C-035,Kamera CCTV,False,ITC LPG CILACAP,T-011,5.876,Opsi >5–10 m,False,,
AUTO-CD1F13E25047851E89AF523C,BC-008,Kamera CCTV,False,DPPU YIA,,,Tidak ada opsi ≤25 m,False,,
AUTO-CE0FE0981EDD2B4C8B6D21C1,C-027_T-024,Kamera CCTV,False,FT LOMANIS,T-024,11.17,Opsi >10–25 m,True,T-027,
AUTO-CF491C0345509C08B43EE3FF,JB-12,Junction box,False,Booster Kutawinangun,,,Tidak ada opsi ≤25 m,False,,
AUTO-D10C331A71DD82E6275C7773,C-028-Exp,Kamera CCTV,False,FT MAOS,,,Tidak ada opsi ≤25 m,False,,
AUTO-D260BF9BC965E416E20F3359,C-025,Kamera CCTV,False,FT LOMANIS,T-020,5.359,Opsi >5–10 m,True,T-025,
AUTO-D4B4C0D1F81B1F14E93D2E4E,JB-13-EXP,Junction box,False,FT Tegal Baru,,,Tidak ada opsi ≤25 m,True,T-13,
AUTO-D56C6FFA3DEDD687A28BEE9B,JB-11.2,Junction box,False,ITC LPG CILACAP,,,Tidak ada opsi ≤25 m,True,T-011,
AUTO-D579E6725C0F2B6C61A0A869,C-044,Kamera CCTV,True,FT PENGAPON - SEMARANG,,,Tidak ada opsi ≤25 m,False,,
AUTO-D6E8E73AFDADC0247052DE6C,JB-04.1-exp,Junction box,False,ITC LPG CILACAP,,,Tidak ada opsi ≤25 m,True,T-004,
AUTO-D7A4056373BE5D346168E864,JB00.4,Junction box,False,FT LOMANIS,,,Tidak ada opsi ≤25 m,False,,
AUTO-D7F6EE4CF467AF15F2E9C27D,C-020-Fix,Kamera CCTV,False,FT REWULU,T-005,8.346,Opsi >5–10 m,True,T-020,
AUTO-D9091E3563B974104CDEF402,C-061,Kamera CCTV,True,FT LOMANIS,,,Tidak ada opsi ≤25 m,False,,
AUTO-D94EBB82D23B91F527B78948,C-045-Dome,Kamera CCTV,True,FT MAOS,,,Tidak ada opsi ≤25 m,False,,
AUTO-DA58EF15F118082A0E934B4E,C-038,Kamera CCTV,False,FT CILACAP,T-015,7.253,Opsi >5–10 m,False,,
AUTO-DADC503DEB79A67200BFE8F2,C-10,Kamera CCTV,True,FT Tegal Baru,,,Tidak ada opsi ≤25 m,True,T-10,
AUTO-DAF104CB3CB1AF5787073DA8,JB-15.1-WP,Junction box,False,FT PENGAPON - SEMARANG,,,Tidak ada opsi ≤25 m,True,T-015,
AUTO-DC31205AA5BA0F294B1CED8F,C-049,Kamera CCTV,True,FT LOMANIS,T-024,14.817,Opsi >10–25 m,False,,
AUTO-DC4EF911DB208A7B80C5414D,C-018,Kamera CCTV,False,ITC LPG CILACAP,T-005,19.046,Opsi >10–25 m,False,,
AUTO-DD6E8783052925EE7BF1A70A,BC-037,Kamera CCTV,False,DPPU YIA,T-008,5.492,Opsi >5–10 m,False,,
AUTO-DF6444FA496E9769E182F8B4,C-046,Kamera CCTV,True,FT PENGAPON - SEMARANG,,,Tidak ada opsi ≤25 m,False,,
AUTO-DF98E8537A775E41151F597C,C-048,Kamera CCTV,False,FT LOMANIS,T-024,8.788,Opsi >5–10 m,False,,
AUTO-E061B858F365EEF673B958AD,C-039,Kamera CCTV,False,ITC LPG CILACAP,T-004,6.275,Opsi >5–10 m,False,,
AUTO-E0CB09BFB43685FEFC2F7905,JB-011.1-exp,Junction box,False,FT PENGAPON - SEMARANG,T-021,6.181,Opsi >5–10 m,True,T-011,
AUTO-E0D4BAB22FBF36BC3CE829BF,C-037,Kamera CCTV,True,FT LOMANIS,T-003,20.051,Opsi >10–25 m,False,,
AUTO-E0E286F303AA23A4CF97011E,C-40-EXP,Kamera CCTV,False,FT Tegal Baru,,,Tidak ada opsi ≤25 m,False,,
AUTO-E169CEAF593B10A2DDFDA544,BC-035,Kamera CCTV,False,DPPU YIA,T-009,7.724,Opsi >5–10 m,False,,
AUTO-E173ACC94607A4E92C8D1849,C-067,Kamera CCTV,False,FT LOMANIS,T-017,8.04,Opsi >5–10 m,False,,
AUTO-E31A1F6ED5A783D8A56BEDD3,C-043-Dome,Kamera CCTV,True,FT MAOS,,,Tidak ada opsi ≤25 m,False,,
AUTO-E347411C178E9500A37F6302,JB-CCTV-03A.2-WP,Junction box,False,FT LOMANIS,,,Tidak ada opsi ≤25 m,False,,
AUTO-E384E58825C3D2D5C74FDEB8,C-026,Kamera CCTV,False,ITC LPG CILACAP,,,Tidak ada opsi ≤25 m,False,,
AUTO-E421E8A106F39442120318AE,JB-01,Junction box,False,FT Tegal Baru,T-01,13.001,Opsi >10–25 m,True,T-01,13.001
AUTO-E56253255CCE4BF05DD9B688,C-09,Kamera CCTV,True,FT Tegal Baru,,,Tidak ada opsi ≤25 m,True,T-09,
